Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
Restaurant 168,Downtown,Mexican,3.6,81,25.62,2050,20944,6,411,165.9518754,6.3,5.1,Yes,31,75,473833.1
Restaurant 169,Suburban,Mexican,3.4,54,29.71,2681,31607,12,91,191.4888485,3.9,7.9,Yes,26,36,376876.33
Restaurant 170,Suburban,Japanese,4.7,69,67.62,4673,49681,13,789,105.6233709,4.8,9.6,No,51,19,1057810.77
Restaurant 171,Suburban,Italian,3.8,55,53.35,3207,38390,18,323,131.0380782,2.9,3.4,Yes,38,19,674167.7
Restaurant 172,Rural,Japanese,3.8,35,74.6,888,17622,14,823,236.9218885,6.6,9.5,No,23,30,601671.9
Restaurant 173,Suburban,Indian,3.3,57,33.09,2379,22982,11,549,135.7611932,9.9,3.1,Yes,26,28,438164.93
Restaurant 174,Rural,Italian,3.8,46,46.05,1508,22286,2,181,176.4896375,8.5,7.8,Yes,26,10,479453.8
Restaurant 175,Downtown,French,4.7,81,57.79,2921,32339,19,502,78.5888693,7.1,7.1,Yes,39,55,1063671.52
Restaurant 176,Rural,Japanese,3.7,43,66.14,2640,31845,2,959,262.5166154,7.8,1.5,Yes,31,10,639672.37
Restaurant 177,Suburban,Italian,4.9,51,48.55,1084,14384,17,474,234.3954079,8.6,7.5,Yes,44,17,573559.7
Restaurant 178,Downtown,French,4.9,88,60.92,6840,73639,8,992,240.1862135,5.3,9.1,Yes,85,73,1214801.55
Restaurant 179,Downtown,Japanese,3.3,75,75.71,6225,61155,5,658,94.54629952,6.1,9.4,No,48,17,1274919.15
Restaurant 180,Downtown,Mexican,3.4,87,29.39,3199,39133,11,102,173.7890382,9.1,7.2,No,47,8,587693.27
Restaurant 181,Rural,Japanese,4.7,33,67.42,2893,33044,1,838,56.88531966,7.3,8.1,No,0,5,503949.14
Restaurant 182,Suburban,American,3.8,54,36.83,3669,38003,16,446,128.7722694,2.2,1.6,Yes,52,11,464067.52
Restaurant 183,Downtown,Japanese,3,75,66.9,3371,38753,5,243,137.0048802,8,2.5,Yes,33,0,1118770.35
Restaurant 184,Downtown,American,3.5,84,37.12,4439,44067,16,448,278.4225434,1.2,3.4,No,0,73,713627.13
Restaurant 185,Downtown,French,4.2,75,63.38,4177,46151,5,513,298.1956997,8.6,5.8,Yes,41,65,1069533.83
Restaurant 186,Rural,Japanese,4.6,37,65.67,2349,24573,10,404,204.4364754,8.1,4.5,No,34,7,556676.63
Restaurant 187,Rural,French,3.3,38,65.97,1981,21421,9,222,179.1921878,8.5,6.9,No,28,24,573619.33
Restaurant 188,Suburban,French,3.2,70,60.75,1965,22135,19,389,160.0222336,1.2,5,No,17,29,961024.25
Restaurant 189,Rural,Italian,4.8,35,50.99,1437,21483,3,242,54.57405935,9.8,8,No,5,26,408032.69
Restaurant 190,Downtown,French,4.5,71,58.93,6254,71777,9,479,250.0291366,6.5,7.4,No,5,43,949009.06
Restaurant 191,Suburban,French,4.2,65,62.59,1095,19838,8,436,217.956461,8.2,7.7,Yes,38,31,914743.76
Restaurant 192,Downtown,Japanese,4.5,89,70.19,3079,38554,4,706,212.3214375,6.1,8.5,No,54,5,1391472.7
Restaurant 193,Downtown,Japanese,3.9,70,68.62,4270,46958,11,706,252.2608473,4.1,8.5,Yes,18,58,1084624.62
Restaurant 194,Rural,Mexican,4.5,45,27.92,1184,17899,4,517,282.0135504,3.7,8,No,37,19,290270.07
Restaurant 195,Suburban,Italian,3.7,50,55.18,2134,21130,12,837,147.3825047,1.6,1.6,No,2,13,624580.2
Restaurant 196,Rural,French,3.5,30,58.2,894,17248,7,821,156.6007242,5.9,6.6,No,20,22,401913.8
Restaurant 197,Rural,Italian,4.5,36,49.8,1387,18172,8,380,293.7847475,2.3,1.2,Yes,19,12,407666.1
Restaurant 198,Suburban,American,3.8,65,38.85,3203,40009,10,576,216.1062128,6.1,7.7,No,4,47,579868.05
Restaurant 199,Downtown,French,5,86,55.95,2788,29471,13,874,262.8377677,6.6,1.5,No,24,59,1082859.7
Restaurant 200,Downtown,Italian,3.7,85,47.05,7087,75471,14,478,105.3923847,5,9.8,Yes,52,46,917206.7
Restaurant 201,Suburban,Mexican,4.8,65,27.08,1301,20889,16,844,129.2687977,2.4,6.5,Yes,11,9,411159.35
Restaurant 202,Downtown,Mexican,4.9,75,32.63,7490,83579,7,265,147.9013068,4.9,2.6,Yes,68,45,566328.89
Restaurant 203,Suburban,French,3.5,67,59.47,3482,42354,16,325,129.2332782,8.9,5.2,Yes,11,7,904714.47
Restaurant 204,Suburban,American,4.6,52,43.6,2048,23729,17,157,271.0617535,5.1,8.4,No,17,17,526321.65
Restaurant 205,Rural,Mexican,3.9,37,32.8,974,10205,19,305,177.877549,4.1,2.6,No,2,11,291136.05
Restaurant 206,Suburban,Mexican,4.8,53,27.11,1058,13989,12,128,288.4117766,6.7,5.8,No,3,20,336081.75
Restaurant 207,Rural,American,3.9,33,41.19,1943,21259,9,439,130.3306111,6.6,1,Yes,18,25,317106.75
Restaurant 208,Downtown,Italian,4.5,86,53.17,7360,73821,8,579,59.31115757,1.8,8.1,Yes,84,10,1035240.81
Restaurant 209,Downtown,Mexican,3.9,74,31.96,4208,42784,9,391,84.51535492,3.1,2.8,Yes,66,10,541555.92
Restaurant 210,Downtown,Japanese,3.5,83,71.6,4178,40934,5,354,104.2676082,5.4,4.5,Yes,6,51,1324526.1
Restaurant 211,Downtown,Indian,3.4,84,38.14,1721,23946,10,774,209.9924252,4.3,5.8,Yes,8,29,723411.42
Restaurant 212,Rural,Indian,3.9,41,30.62,1215,18734,5,969,95.27197417,3.9,2.3,Yes,3,0,287826.04
Restaurant 213,Downtown,Mexican,4.5,82,33.05,3257,41958,14,258,145.374631,5,9.3,No,54,51,625631.55
Restaurant 214,Suburban,Italian,4.2,67,48,1924,24893,18,60,248.846706,3.6,5.2,Yes,22,14,732682.65
Restaurant 215,Suburban,Italian,4.4,63,51.29,3629,39929,7,195,81.18975378,4.1,3.1,No,10,27,727975.81
Restaurant 216,Suburban,French,3.6,68,57.67,1284,12332,8,84,70.12003458,8,7.6,Yes,64,62,884598.66
Restaurant 217,Rural,Japanese,4,36,74.23,814,11430,5,616,184.9925574,5.6,9,No,3,4,601073.43
Restaurant 218,Downtown,Italian,3.1,75,50.29,1939,19150,6,400,224.5172548,8.9,9.2,Yes,8,44,848344.33
Restaurant 219,Downtown,American,4.6,74,42.07,5747,61983,9,589,277.7382971,9.5,4.9,Yes,41,40,714291.74
Restaurant 220,Downtown,Japanese,5,73,73.73,5911,66446,9,905,215.4941682,9.3,4.2,Yes,70,71,1218866.24
Restaurant 221,Rural,Indian,3.8,47,39.85,2052,26670,8,725,286.5447194,3.3,9.4,Yes,25,37,432858.25
Restaurant 222,Suburban,Japanese,3,63,73.05,2438,26300,17,158,111.1315107,5.3,1.5,No,53,44,1040644.7
